NO,TIME,SUHU,SET POINT,EROR,DELTA EROR,OUTPUT FUZZY,OUTPUT M
128,01:55:54,46.12,90.00,43.88,-0.06,2.59,M3
129,01:55:56,46.25,90.00,43.75,-0.12,2.57,M3
130,01:55:58,46.38,90.00,43.62,-0.12,2.57,M3
131,01:56:00,46.56,90.00,43.44,-0.19,2.56,M3
132,01:56:02,46.62,90.00,43.38,-0.06,2.59,M3
133,01:56:04,46.75,90.00,43.25,-0.12,2.57,M3
134,01:56:06,46.88,90.00,43.12,-0.12,2.57,M3
135,01:56:08,47.00,90.00,43.00,-0.12,2.57,M3
136,01:56:10,47.12,90.00,42.88,-0.12,2.57,M3
137,01:56:12,47.25,90.00,42.75,-0.12,2.57,M3
138,01:56:14,47.38,90.00,42.62,-0.12,2.57,M3
139,01:56:16,47.50,90.00,42.50,-0.12,2.57,M3
140,01:56:18,47.62,90.00,42.38,-0.12,2.57,M3
141,01:56:20,47.69,90.00,42.31,-0.06,2.59,M3
142,01:56:22,47.81,90.00,42.19,-0.12,2.57,M3
143,01:56:24,47.94,90.00,42.06,-0.12,2.57,M3
144,01:56:26,48.06,90.00,41.94,-0.12,2.57,M3
145,01:56:28,48.19,90.00,41.81,-0.12,2.57,M3
146,01:56:30,48.31,90.00,41.69,-0.12,2.57,M3
147,01:56:32,48.44,90.00,41.56,-0.12,2.57,M3
148,01:56:34,48.56,90.00,41.44,-0.12,2.57,M3
149,01:56:36,48.69,90.00,41.31,-0.12,2.57,M3
150,01:56:38,48.81,90.00,41.19,-0.12,2.57,M3
151,01:56:40,48.94,90.00,41.06,-0.12,2.57,M3
152,01:56:42,49.06,90.00,40.94,-0.12,2.57,M3
153,01:56:44,49.19,90.00,40.81,-0.12,2.57,M3
154,01:56:46,49.31,90.00,40.69,-0.12,2.57,M3
155,01:56:48,49.38,90.00,40.62,-0.06,2.59,M3
156,01:56:50,49.56,90.00,40.44,-0.19,2.56,M3
157,01:56:52,49.62,90.00,40.38,-0.06,2.59,M3
158,01:56:54,49.81,90.00,40.19,-0.19,2.56,M3
159,01:56:56,49.94,90.00,40.06,-0.12,2.57,M3
160,01:56:58,50.00,90.00,40.00,-0.06,2.59,M3
161,01:57:00,50.12,90.00,39.88,-0.12,2.57,M3
162,01:57:02,50.25,90.00,39.75,-0.12,2.57,M3
163,01:57:04,50.50,90.00,39.50,-0.12,2.57,M3
164,01:57:06,50.56,90.00,39.44,-0.06,2.59,M3
165,01:57:08,50.69,90.00,39.31,-0.12,2.57,M3
166,01:57:10,50.81,90.00,39.19,-0.12,2.57,M3
167,01:57:12,51.00,90.00,39.00,-0.19,2.56,M3
168,01:57:14,51.06,90.00,38.94,-0.06,2.59,M3
169,01:57:16,51.19,90.00,38.81,-0.12,2.57,M3
170,01:57:18,51.31,90.00,38.69,-0.12,2.57,M3
